#OTU ID	M04754
OTU1496	831
OTU10430	22
OTU2974	153
OTU836	2018
OTU4809	151
OTU2832	1214
OTU6247	228
OTU6394	64
OTU903	2730
OTU4088	177
OTU3857	283
OTU13779	2507
OTU3379	878
OTU20040	2655
OTU11747	22
OTU5746	114
OTU3426	255
OTU554	2683
OTU17090	1507
OTU156	6370
OTU21365	9328
OTU19210	1528
OTU503	2116
OTU2610	2563
OTU1089	1082
OTU2406	695
OTU430	7401
OTU23888	2761
OTU75	4723
OTU6316	167
OTU419	2942
OTU8923	59
OTU359	3548
OTU710	1176
OTU6863	609
OTU460	2605
OTU1114	504
OTU1308	1677
OTU3600	140
OTU2255	1066
OTU5843	779
OTU365	2219
OTU16573	654
OTU5991	236
OTU918	732
OTU3968	1099
OTU6806	526
OTU2908	1723
