#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
OTU19041	591	1129	222	389	734	563	679	531	916	1231	1244	677	35	728	1170	1809	572	521	606	201	1303	382	1058	815	413	1901	521	774	1352	311
OTU17	829	789	1094	230	969	401	132	1717	487	558	353	238	2	1039	859	292	869	51	470	1110	2362	276	833	104	1095	83	309	295	694	912
OTU181	104	41	144	85	151	118	122	149	112	128	256	34	2	77	130	164	199	52	149	202	302	27	353	19	88	54	65	91	130	133
OTU163	220	137	166	101	392	189	173	105	511	421	106	450	8	181	454	250	123	241	136	203	41	145	106	367	83	287	359	161	340	118
OTU76	423	340	381	94	529	406	329	460	248	348	1129	429	5	416	707	1212	640	371	480	488	684	610	552	580	1126	1137	1043	618	515	562
OTU22666	91	394	249	893	41	110	905	3	518	18	34	40	4231	105	61	111	55	1405	316	5	20	113	11	218	12	120	7	41	3295	6
OTU435	294	148	348	152	594	82	271	226	206	259	179	253	12	138	359	139	302	151	258	270	294	380	133	783	159	219	291	59	153	353
OTU110	307	177	194	642	173	568	443	115	1530	83	532	151	1283	135	163	292	463	589	861	78	320	28	207	94	101	93	17	37	170	70
OTU16383	1149	114	1971	714	841	500	388	758	399	1191	360	360	2	623	1088	491	880	456	790	2013	515	1477	1030	468	788	297	1024	690	596	1047
OTU339	529	117	22	27	218	215	366	10	978	45	497	252	94	6	84	235	477	38	697	15	61	14	522	116	61	481	1	50	64	12
OTU13410	728	1407	1651	341	853	606	690	506	623	926	605	1080	188	831	928	977	873	1788	323	401	1167	3027	1362	2942	572	1391	864	855	750	826
OTU27	588	124	121	266	101	667	912	22	2021	16	471	130	18140	24	42	696	640	1715	923	6	218	69	261	316	86	528	0	91	9	18
OTU10	418	653	697	137	1067	337	454	855	99	1248	536	1070	2	1181	919	575	766	1946	387	999	996	885	364	1164	1676	1954	2730	1349	1158	844
OTU4702	28	4	9	4	14	1	0	18	1	32	13	75	0	47	5	0	3	10	2	12	35	13	3	60	44	8	4	1	1	7
OTU373	166	116	87	39	145	79	38	86	70	164	137	63	1	124	82	25	215	0	106	35	316	28	537	69	57	37	17	20	68	56
OTU4154	102	81	98	44	152	47	192	44	64	175	620	200	8	116	232	130	74	92	28	77	26	70	110	193	132	465	98	199	228	46
OTU139	222	67	363	37	344	269	92	90	271	317	552	176	0	83	321	111	154	15	117	230	22	70	243	69	369	83	40	42	80	205
